plot,subsample,trt,ABUTH_recV_F22,ABUTH_recDNA_F22,ABUTH_recBAG_F22,ABUTH_recTOT_F22,AMAPO_recV_F22,AMAPO_recDNA_F22,AMAPO_recBAG_F22,AMAPO_recCR_F22,AMAPO_recTOT_F22,ABUTH_recV_S23,ABUTH_recDNA_S23,ABUTH_recTOT_S23,AMAPO_recV_S23,AMAPO_recDNA_S23,AMAPO_recTOT_S23
101,A,O,30,18,119,167,25,55,0,50,130,21,11,32,49,113,162
101,B,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,11,24,50,96,146
102,A,A,30,14,108,152,30,29,47,50,156,41,11,52,49,84,133
102,B,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,11,52,42,100,142
103,A,ACO,29,11,84,124,29,35,26,50,140,56,11,67,45,99,144
103,B,ACO,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,11,30,76,72,148
104,A,C,30,22,62,114,28,16,0,25,69,61,11,72,47,106,153
104,B,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,11,51,38,105,143
105,A,CO,30,34,54,118,30,80,113,50,273,40,11,51,67,81,148
105,B,CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,11,68,44,106,150
106,A,AC,30,30,41,101,30,37,28,50,145,48,11,59,15,93,108
106,B,AC,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,11,67,39,89,128
107,A,AO,30,12,33,75,27,34,137,50,248,34,11,45,54,88,142
107,B,AO,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,11,67,48,100,148
201,A,AC,29,10,84,123,30,54,0,50,134,24,11,35,37,99,136
201,B,AC,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,11,64,36,96,132
202,A,A,30,9,90,129,29,78,0,50,157,24,11,35,32,110,142
202,B,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,11,46,45,102,147
203,A,CO,30,9,37,76,26,50,0,50,126,73,11,84,42,106,148
203,B,CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,11,75,NA,NA,NA
204,A,ACO,30,8,0,38,26,49,0,50,125,5,11,16,55,87,142
204,B,ACO,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,11,80,81,50,131
205,A,AO,30,9,107,146,30,54,0,50,134,46,11,57,23,132,155
205,B,AO,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,11,29,NA,NA,NA
206,A,O,30,10,93,133,30,51,0,50,131,38,11,49,47,78,125
206,B,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,11,73,45,111,156
207,A,C,30,10,69,109,30,51,0,50,131,32,11,43,55,66,121
207,B,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,11,45,27,107,134
301,A,AC,30,20,95,145,30,54,0,50,134,22,11,33,66,76,142
301,B,AC,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,19,57,95,152
302,A,CO,30,20,56,106,30,52,0,50,132,45,11,56,45,84,129
302,B,CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,11,53,42,75,117
303,A,A,29,20,39,88,30,50,0,50,130,54,11,65,41,78,119
303,B,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,11,58,NA,NA,NA
304,A,AO,30,20,26,76,28,50,0,50,128,51,11,62,36,119,155
304,B,AO,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,11,37,30,105,135
305,A,O,30,20,31,81,30,52,0,50,132,37,11,48,NA,NA,NA
305,B,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,11,69,73,74,147
306,A,ACO,30,20,35,85,28,49,0,50,127,48,11,59,28,111,139
306,B,ACO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,104,150
307,A,C,30,21,63,114,30,49,0,50,129,48,11,59,48,94,142
307,B,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,99,142
307,B2,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,101,146
401,A,CO,30,11,115,156,29,47,0,50,126,51,11,62,66,73,139
401,B,CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,11,70,49,91,140
402,A,AC,30,10,65,105,29,47,0,50,126,19,11,30,29,101,130
402,B,AC,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,11,28,68,66,134
403,A,AO,29,10,53,92,26,50,0,50,126,62,11,73,51,95,146
403,B,AO,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,11,61,43,112,155
404,A,C,28,10,52,90,28,39,0,50,117,50,11,61,61,73,134
404,B,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,11,26,44,89,133
405,A,O,30,10,91,131,30,52,0,50,132,58,11,69,29,115,144
405,B,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,11,44,40,114,154
406,A,ACO,30,10,52,92,28,53,0,50,131,NA,NA,NA,42,104,146
406,B,ACO,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,11,84,63,74,137
407,A,A,28,10,58,96,30,50,0,50,130,51,11,62,22,95,117
407,B,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,11,34,70,72,142
