plot,subsample,trt,time.yr,amapo_v,amapo_Total,amapo_perV,abuth_v,abuth_Total,abuth_perV,,,,,,,
101,A,O,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
101,B,O,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
102,A,A,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
102,B,A,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
103,A,ACO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
103,B,ACO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
104,A,C,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
104,B,C,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
105,A,CO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
105,B,CO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
106,A,AC,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
106,B,AC,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
107,A,AO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
107,B,AO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
201,A,AC,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
201,B,AC,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
202,A,A,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
202,B,A,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
203,A,CO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
203,B,CO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
204,A,ACO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
204,B,ACO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
205,A,AO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
205,B,AO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
206,A,O,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
206,B,O,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
207,A,C,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
207,B,C,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
301,A,AC,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
301,B,AC,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
302,A,CO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
302,B,CO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
303,A,A,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
303,B,A,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
304,A,AO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
